t 20 94
v 0 0 4
v 1 1 8
v 2 2 10
v 3 3 8
v 4 4 8
v 5 5 8
v 6 6 16
v 7 7 12
v 8 8 16
v 9 9 6
v 10 10 12
v 11 11 12
v 12 12 14
v 13 13 14
v 14 14 8
v 15 15 4
v 16 16 8
v 17 17 6
v 18 18 6
v 19 19 8
e 0 1 1
e 1 2 1
e 2 3 1
e 3 4 1
e 1 0 1
e 2 1 1
e 3 2 1
e 4 3 1
e 5 6 1
e 6 5 1
e 6 7 1
e 7 6 1
e 7 8 1
e 8 7 1
e 9 8 1
e 9 8 1
e 11 10 1
e 10 11 1
e 11 12 1
e 12 11 1
e 12 13 1
e 13 12 1
e 13 14 1
e 14 13 1
e 15 16 1
e 16 15 1
e 16 17 1
e 17 16 1
e 18 19 1
e 19 18 1
e 1 7 1
e 7 1 1
e 3 10 1
e 10 3 1
e 5 11 1
e 11 5 1
e 7 13 1
e 13 7 1
e 11 17 1
e 17 11 1
e 13 19 1
e 19 13 1
e 2 6 1
e 6 2 1
e 4 8 1
e 8 4 1
e 6 10 1
e 10 6 1
e 8 12 1
e 12 8 1
e 12 16 1
e 16 12 1
e 14 18 1
e 18 14 1
e 13 19 1
e 19 13 1
e 2 6 1
e 6 2 1
e 4 8 1
e 8 4 1
e 6 10 1
e 10 6 1
e 8 12 1
e 12 8 1
e 0 5 1
e 5 0 1
e 1 6 1
e 6 1 1
e 2 7 1
e 7 2 1
e 3 8 1
e 8 3 1
e 4 9 1
e 9 4 1
e 5 10 1
e 10 5 1
e 6 11 1
e 11 6 1
e 7 12 1
e 12 7 1
e 8 13 1
e 13 8 1
e 9 14 1
e 14 9 1
e 10 15 1
e 15 10 1
e 11 16 1
e 16 11 1
e 12 17 1
e 17 12 1
e 13 18 1
e 18 13 1
e 14 19 1
e 19 14 1
t # -1
